Date,Temperature (°C),Humidity (%),NO2 (80 µg/m³),SO2 (120 µg/m³),PM2.5 (35 µg/m³)
5/12/2023,14,52.33,7.7,22.96,55.02
6/12/2023,13.66,36.7,7.41,21,55.8
7/12/2023,13.66,42.66,6.2,17.2,45.5
8/12/2023,13.33,45,5.8,16.77,58.6
9/12/2023,13,42,5.71,15.61,61.7
10/12/2023,13,47.7,6,15.9,62.3
11/12/2023,13,53.33,5.73,14.96,61.4
12/12/2023,12.66,59,4.53,14.97,44.23
13-12-2023,12.66,63,4.5,14,56
14-12-2023,12,44.7,4.23,21.53,56.9
15-12-2023,12.33,48.6,5.9,18.66,74.9
16-12-2023,12.33,49.2,6.33,17.8,70.6
17-12-2023,12.66,53,7.4,17.27,66.8
18-12-2023,12.52,56,10.42,13.11,51.67
19-12-2023,13.17,51.33,10.37,13.5,54.11
20-12-2023,13.5,49.67,10.82,13.74,57.03
21-12-2023,13.67,51.33,11.6,14.73,60.66
22-12-2023,14,52.5,9.1,15.8,79.7
23-12-2023,14.33,47,7.1,15.4,59.8
24-12-2023,14.66,44,7.2,16.9,72.5
25-12-2023,15,51,10.07,15.59,57.03
26-12-2023,15.24,54.67,12.09,14.91,64.45
27-12-2023,14.43,54.67,12.37,15.17,66.61
28-12-2023,14.17,59,13,15.57,66.74
29-12-2023,14.33,56,9.4,16.33,64.91
30-12-2023,14.67,60,9.11,16.57,65.8
31-12-2023,14.67,62.33,10.91,12.85,60.47
1/11/2023,22,41,10.33,13.9,47.6
2/11/2023,21,64.33,9.09,12.73,44.26
3/11/2023,21.7,48,9.11,13.8,46.99
4/11/2023,20.7,47,8.4,14.9,47.8
5/11/2023,20.33,41.33,8.31,14.52,30.53
6/11/2023,20,40,8.72,15.9,51.3
7/11/2023,19.7,53,8.39,14.03,45.7
8/11/2023,19,65,7.61,16.5,50.2
9/11/2023,18,76,7.53,13.5,24.56
10/11/2023,17,79,6.1,13.44,20
11/11/2023,17,68,6.4,14.6,32.1
12/11/2023,17.33,50.66,7.47,15.96,34.2
13-11-2023,17.7,64,7.3,16.34,49.5
14-11-2023,17,43.7,6.32,42.96,52.36
15-11-2023,16.7,41.7,6.63,17.74,54.3
16-11-2023,16.77,51.66,6.4,17.36,52.6
17-11-2023,16,65,5.8,17.22,42
18-11-2023,16.33,50,6.2,18.6,51.9
19-11-2023,16.33,47.66,6.5,19.2,59.96
20-11-2023,16,45.33,5.63,18.5,67.1
21-11-2023,15.66,40,5.73,19.76,66.76
22-11-2023,15.33,44.7,5.62,19.63,69
23-11-2023,15.33,49.33,5.7,19.5,65.56
24-11-2023,16,53.8,6.9,21.9,67.8
25-11-2023,16,55,7.4,22.8,68.55
26-11-2023,15.67,58.67,6.87,12.77,43.69
27-11-2023,16.67,70.67,14.33,16.4,47.07
28-11-2023,16,69,13.14,15.69,46.86
29-11-2023,16,68.67,14.98,16.67,48.18
30-11-2023,15,68.67,10.28,10.63,14.4
1/10/2023,29.33,65.33,8.77,11.06,19.97
2/10/2023,29.37,64.33,10.99,13.58,23.14
3/10/2023,29.04,65.67,11.05,13.51,22.79
4/10/2023,29,57.33,10.71,14.18,24.32
5/10/2023,30.67,59.67,10.93,14.76,24.96
6/10/2023,29.53,58,9.89,12.95,24.51
7/10/2023,29.85,59,10.11,15.02,23.88
8/10/2023,32.33,58.33,8.65,11.59,21.94
9/10/2023,29.7,60.67,9.11,10.58,20.98
10/10/2023,30.32,59.33,10.37,12.07,21.63
11/10/2023,29.18,60.33,11.23,12.36,22.22
12/10/2023,29.67,54.33,11.3,12.48,23.85
13-10-2023,29.33,57,10.71,13.12,22.84
14-10-2023,28.91,55.96,12.04,11.81,23.96
15-10-2023,28,58.33,10.01,10.52,20.3
16-10-2023,25,71.33,6.87,8.06,17.74
17-10-2023,18,85,9.35,10.72,14.74
18-10-2023,21.33,70.67,12.69,13.33,18.26
19-10-2023,26,65,12.7,13.43,22.12
20-10-2023,27.13,66.12,12.33,14.02,23.41
21-10-2023,26.83,58.14,13.08,12.51,22.49
22-10-2023,25.33,68.33,10.37,11.4,19.93
23-10-2023,26.67,61.67,12.4,12.61,23.06
24-10-2023,26,59.67,13.09,12.87,23.62
25-10-2023,26.33,59.33,12.73,12.8,24.41
26-10-2023,23,40.7,11.9,12.46,24.03
27-10-2023,25.14,60.12,10.45,12.89,24.21
28-10-2023,24.21,62.88,11.81,13.09,21.33
29-10-2023,22.7,52,10.43,13.1,34.66
30-10-2023,21.33,64,10.33,12.81,23.45
31-10-2023,21,64.33,9.09,12.73,44.26
1/8/2023,32,59,9.74,10.47,16.81
2/8/2023,31,64,10.19,10.57,17.6
3/8/2023,32,53,11.74,11.34,18.06
4/8/2023,31,51,9.31,12.25,17.8
5/8/2023,31,53,10.21,12.41,18
6/8/2023,33,63,8.04,7.88,12.73
7/8/2023,31,59,10.44,10.91,16.32
8/8/2023,32,61,11.03,11.71,17
9/8/2023,33,59,11.53,12.31,17.54
10/8/2023,31.17,63,10.53,10.8,15.79
11/8/2023,32,58,8.33,12.51,16.21
12/8/2023,33.21,57,9.58,13.11,18.11
13-08-2023,31.85,60,10.21,11.87,16.39
14-08-2023,30,80,8.5,9.28,14.72
15-08-2023,30,63,11.03,11.02,18.09
16-08-2023,31,65,11.18,11.32,18.2
17-08-2023,32.5,55,9.21,14.21,19.54
18-08-2023,31,57,9.85,12.55,18.71
19-08-2023,33,59,11.33,13,18.32
20-08-2023,32.67,61,6.52,6.82,12.54
21-08-2023,33,62,10.31,9.51,17.32
22-08-2023,34,55,10.56,9.99,18.08
23-08-2023,33,56,8.22,11.65,18.55
24-08-2023,31,64,10.98,10.41,19.17
25-08-2023,32.67,59,7.41,13.32,18.31
26-08-2023,33,56,8.66,10.41,17.91
27-08-2023,32,59,8.38,8.21,15.91
28-08-2023,33.33,58,10.21,11.17,17.55
29-08-2023,32.63,57,10.93,12.33,16.5
30-08-2023,33.15,54,11.14,12.86,18
31-08-2023,32.33,53,11.91,13.58,18.77
1/7/2023,41,15,8.9,19.6,32.9
2/7/2023,40,20,5.7,13.8,31
3/7/2023,40,30,6.88,15.6,10
4/7/2023,38,45,7.2,16.44,20
5/7/2023,38,38,9.6,17.5,15.2
6/7/2023,37,35,7.6,19.2,20.6
7/7/2023,38,40,8.2,18.3,21
8/7/2023,39,18,7.6,17.2,18.6
9/7/2023,38,53,4,8.6,7.8
10/7/2023,37,56,4.3,10.2,9.5
11/7/2023,38,32,4.9,12.8,13.2
12/7/2023,37,51,3.8,11.77,9.88
