Date,Temperature (°C),Humidity (%),NO2 (80 µg/m³),SO2 (120 µg/m³),PM2.5 (35 µg/m³)
16-09-2022,28,84,3.02,11.7,18.7
17-09-2022,27,76,2.75,11.4,15.8
18-09-2022,27.7,57.33,3.23,12.03,18.93
19-09-2022,28,58,3.36,12.3,26.2
20-09-2022,28.3,57,3.31,13.2,23.24
21-09-2022,28.7,60,3.45,12.67,21.6
22-09-2022,29,59,3.93,16.42,34.06
23-09-2022,30,63,4.51,19.6,43.2
24-09-2022,28.5,75,4,16.4,18.7
25-09-2022,26.7,74.7,3.51,14.23,17.6
26-09-2022,26.7,70,3.55,13.34,21.49
27-09-2022,27.66,62.66,3.96,15.2,30
28-09-2022,28.33,57,4,16.3,28
29-09-2022,28,51.7,3.62,16.65,28
30-09-2022,29,47,3.7,17.4,32
1/8/2022,28.33,80,3.24,8.85,4.66
2/8/2022,29,73,3.15,8.8,14.33
3/8/2022,30,64.33,3.56,10.3,21
4/8/2022,31,69.33,3.47,11,21
5/8/2022,30,82,3.8,12.6,27
6/8/2022,30.3,73,3.6,12.51,25.1
7/8/2022,31,63,3.5,11.8,21
8/8/2022,30.5,58,4.2,13.4,28
9/8/2022,31.33,61,3.96,12.02,24.03
10/8/2022,32.33,62.66,3.92,12.78,23.6
11/8/2022,28.33,79.33,3.96,11.81,16
12/8/2022,28,65,3.61,12.3,19.6
13-08-2022,25.5,68,3.24,12.8,24.7
14-08-2022,28,80,3.8,12.27,22.6
15-08-2022,27.33,79.66,3.7,12.17,14.23
16-08-2022,27.66,82,3.42,12.06,17.6
17-08-2022,27,82.33,3.5,11.6,17.5
18-08-2022,29.3,79.5,3.7,11.77,20.17
19-08-2022,30,80.3,3.1,11.4,21.2
20-08-2022,30.5,76.2,3.02,11.54,22.7
21-08-2022,28,82.17,3.2,10.13,18.17
22-08-2022,22,74.67,4,10.77,20.67
23-08-2022,28.13,75.67,3.9,10.73,21.07
24-08-2022,27.1,77,3.6,9.83,18.7
25-08-2022,26.1,78,3.37,8.67,16.27
26-08-2022,27,74,3.27,10.6,18.9
27-08-2022,29,72,3.21,10.81,21.6
28-08-2022,28.07,70.73,3.3,7.83,16.1
29-08-2022,28.53,71.07,4.6,9.13,19.33
30-08-2022,30,66.67,5.2,9.5,20.27
31-08-2022,30.42,63.33,5.9,10.1,22
1/7/2022,31,68,3.72,12.4,11.5
2/7/2022,31.5,66,3.6,13.6,15.6
3/7/2022,31.7,61.7,4.02,16.03,28.2
4/7/2022,30.33,72,3.81,12.23,16
5/7/2022,30.7,82.7,3.94,13.15,30.8
6/7/2022,30,72,3.96,13.4,24
7/7/2022,30.33,56,3.78,11.6,21
8/7/2022,31,58,4.07,13.4,24
9/7/2022,31.5,61,3.87,13.12,22
10/7/2022,31,73,4.13,12.5,24
11/7/2022,30.5,76,4.05,13.1,27
12/7/2022,30.33,77.66,3.89,12.4,19.33
13-07-2022,28.33,84.33,3.43,11.42,12
14-07-2022,29.33,73.7,3.47,11.63,13.7
15-07-2022,28.5,78,3.2,11.2,12.6
16-07-2022,30,69,3.24,10.4,10
17-07-2022,30.33,62.7,3.41,12.32,20.56
18-07-2022,32,61,3.24,12.95,21
19-07-2022,33,64,3.3,12.56,16
20-07-2022,28.7,87,3.23,12.43,14.33
21-07-2022,28.33,88.33,3.24,11.7,9.66
22-07-2022,28,77,3.3,10.45,10
23-07-2022,28.5,64,3.51,10.6,13.9
24-07-2022,27.66,50.33,3.91,13.07,15.76
25-07-2022,30,83,3.63,12.3,23
26-07-2022,29,81,3.54,11.12,15.33
27-07-2022,27.33,83,3.62,10.71,15.66
28-07-2022,27,85.7,3.64,12.52,21.33
29-07-2022,26,98,3.05,11.2,12
30-07-2022,26.5,92,3.45,11.47,20
31-07-2022,26,89,2.87,9.88,8.66
1/6/2022,32,36.66,4.61,16.44,22.66
2/6/2022,33.7,32.33,4.2,15.57,12.46
3/6/2022,34,26.33,4.23,14.1,13.86
4/6/2022,35,21.6,4.35,14.62,19.86
5/6/2022,35.7,18.33,4.41,14.68,23.43
6/6/2022,37,17,4.72,15.6,26.3
7/6/2022,37.33,20.66,5.07,16.09,35.76
8/6/2022,38,19.4,4.86,17.3,47
9/6/2022,37.63,19.83,5.57,16.2,34.98
10/6/2022,38,20,4.41,15.11,21
11/6/2022,37,25,4.43,15.3,22.7
12/6/2022,33.66,31,4.63,13.3,29.46
13-06-2022,34.17,23,5.4,12.97,26.17
14-06-2022,34.66,22,4.72,14.07,35
15-06-2022,36.33,25.66,4.77,15.56,49.33
16-06-2022,31.33,57.33,4.33,13.31,16.33
17-06-2022,34.7,34.33,6.06,18.71,28.06
18-06-2022,34.33,35.33,5.97,20.16,25
19-06-2022,30,79,3.99,11.33,11.33
20-06-2022,26,77.7,3.83,11.76,12.16
21-06-2022,24,76,3.9,12.53,10.93
22-06-2022,26,62,3.96,12.95,15
23-06-2022,27.66,50.33,3.91,13.07,15.76
24-06-2022,27.66,50.33,3.91,13.07,15.76
25-06-2022,34,52,4.18,13.2,20.6
26-06-2022,35.33,41,4.37,13.4,26.14
27-06-2022,36.33,34.66,4.46,13.92,29.53
28-06-2022,36.7,40.7,4.65,18.37,34.1
29-06-2022,36,43,4.43,17.81,39.4
30-06-2022,33.7,58.7,4.2,16.43,34.66
1/5/2022,30.3,30,8.41,20.88,20.6
2/5/2022,30.66,43,7.6,18.4,21.3
3/5/2022,30,40,6.35,16.8,17
4/5/2022,29.3,38,6.2,17.2,18.4
5/5/2022,27.1,36.9,4,15.83,12.13
6/5/2022,28.4,37.87,5.3,17.07,16.13
7/5/2022,28,28,12.83,23.27,28.55
8/5/2022,33,32.7,5.87,17.45,16.27
9/5/2022,32,41,5.29,15.5,19.66
10/5/2022,34.33,31.33,5.24,14.13,15.7
11/5/2022,35.33,29,5.86,15.54,33.73
12/5/2022,36,29,6.12,15.81,25.33
13-05-2022,36.7,25.33,5.69,16.04,24.2
14-05-2022,37,22,5.53,16.33,27
15-05-2022,37,30.7,5.74,17.79,17.2
16-05-2022,35.66,30.33,6.11,19.14,29.46
17-05-2022,34.7,34.33,6.06,18.71,28.06
18-05-2022,34.33,35.33,5.97,20.16,25
19-05-2022,34.33,36,5.5,19.8,28.83
20-05-2022,34,33.33,5.83,18.7,19.96
21-05-2022,35,21,5.44,18.83,23
22-05-2022,30.66,41.7,5.37,16.96,12.23
23-05-2022,29.33,46,5.44,14.97,12.23
24-05-2022,30,46,5.3,14.33,12.25
25-05-2022,32,35,5.54,17,22.25
26-05-2022,31.7,33.33,6.43,22.05,39.33
27-05-2022,31.33,46,5.37,20.23,28.33
28-05-2022,31,47,5.4,20.4,25
29-05-2022,34.66,38,5.39,19.6,24.33
30-05-2022,34.33,38.77,5.07,19.6,21.66
31-05-2022,33.33,39.7,4.42,18.43,26.63
1/4/2022,26.7,30,11.6,25.6,36.8
2/4/2022,27,31.6,14.8,22.47,26.88
3/4/2022,27.33,29.66,10.94,20.33,25.44
4/4/2022,27.33,28.66,11.3,23.75,33.24
5/4/2022,27,29.66,10.9,23.03,28.6
6/4/2022,27.33,28,11.54,23.8,27.43
7/4/2022,28,28,12.83,23.27,28.55
8/4/2022,27.6,30,10.4,20.6,32.7
9/4/2022,27,29,9.1,20.21,31.4
10/4/2022,28.33,26.7,11.88,24.16,31.5
11/4/2022,28.33,27,9.923,22.87,30.32
12/4/2022,27.33,41.33,9.78,22.97,33.67
13-04-2022,27.66,44.33,9.78,22.9,28.7
14-04-2022,28,37,9.71,21.38,18.61
15-04-2022,27.66,31.33,9.04,20.53,17.31
16-04-2022,28,32.5,9.2,20.4,19.3
17-04-2022,29,34.33,9.48,19.7,24.36
18-04-2022,28.33,41,9.2,22.12,31.03
19-04-2022,28.33,48,8.53,21.53,24.6
20-04-2022,28,46.33,8.21,19.81,20.94
21-04-2022,27.33,46,9.7,19.64,13.2
22-04-2022,27,47.66,8.64,18.16,16.78
23-04-2022,27.5,43,7.22,18.64,21.2
24-04-2022,27.66,45.7,6.85,18.8,12.6
25-04-2022,28.66,37.33,6.57,21.55,12.73
26-04-2022,29.66,35,6.57,20.46,17.63
27-04-2022,30.7,34.33,6.04,18.6,16.6
28-04-2022,31.66,37.33,6.53,19.16,27.13
29-04-2022,32.7,35.33,5.7,18.8,15.18
30-04-2022,28,38.6,6.22,19.53,16.4
1/3/2022,16.66,61,11.15,20.96,38.34
2/3/2022,16,74.33,11.95,22.88,54.22
3/3/2022,16.33,82,9.63,21.7,34.53
4/3/2022,16.5,68,10.98,23.8,42.33
5/3/2022,16,76.3,12.6,26.4,73.4
6/3/2022,15.33,83.33,10.07,19.7,32.38
7/3/2022,16.7,36,9.46,16.6,20.95
8/3/2022,17.33,62.66,7.85,15.4,33.7
9/3/2022,18.66,67,4.88,19.82,33.53
10/3/2022,19,66,4.88,25.96,32.13
11/3/2022,19.5,59,7.6,26.4,47.3
12/3/2022,19.7,54,8.57,30.6,58.73
13-03-2022,21,58,7.36,19.78,32.99
14-03-2022,21,36,11.8,18.9,22.9
15-03-2022,22,30,18.6,26.4,30.6
16-03-2022,22,43,19.4,27.3,33.8
17-03-2022,21,37,20.6,30.4,36.87
18-03-2022,22.3,39,17.6,28.3,38.64
19-03-2022,23,41,16.53,26.4,33.5
20-03-2022,23.33,37,15.6,26.82,36.4
21-03-2022,23.5,38,14.7,19.2,34.68
22-03-2022,24,40,14.33,19.6,33.5
23-03-2022,24.5,43,13.1,19.3,33.2
24-03-2022,25.2,49.2,9,20.14,28.27
25-03-2022,25,43.2,12.66,27.33,26.11
26-03-2022,25.3,41.6,12.82,28.4,26.74
27-03-2022,26.66,39.33,14.64,31.79,27.8
28-03-2022,26,37.66,15.73,34.72,50.81
29-03-2022,26.66,37.66,13.48,35.36,63.72
30-03-2022,26.7,39,14.97,36.93,69.69
31-03-2022,27,31.66,11.03,37.73,53.46
1/2/2022,9.7,75.33,8.94,20.12,62.5
2/2/2022,9,77.33,8.36,20.35,61.17
3/2/2022,8.33,82.33,8.86,20.3,24.86
4/2/2022,8.5,63,9.67,20.21,52.43
5/2/2022,8.7,71,10.33,20.86,66.4
6/2/2022,9,75,9.18,20.49,73.4
7/2/2022,9.66,65.66,9.7,19.75,38.83
8/2/2022,9.5,58.6,10.51,19.58,54.58
9/2/2022,9.66,56.66,8.53,18.8,26.76
10/2/2022,10,44.33,9.03,19.73,49.35
11/2/2022,10.5,33,9.6,20.2,51.44
12/2/2022,11.5,42,10.48,20.7,78.84
13-02-2022,12,46,11.7,20.9,70.92
14-02-2022,12.33,51,11.34,21.52,68.57
15-02-2022,13.7,44,11.7,23.4,57.5
16-02-2022,14.33,36.7,11.96,20.91,63.31
17-02-2022,14.8,43,11.51,22.87,57.6
18-02-2022,15.33,49,11.2,23.8,49.4
19-02-2022,15.3,36,10.3,20.3,23.66
20-02-2022,15.5,38,10.42,20.1,226
21-02-2022,15.66,51.66,11.7,20.92,39.99
22-02-2022,14,70,10.61,19.88,54.66
23-02-2022,14.7,86.33,9.57,25.44,45.96
24-02-2022,14.33,85,9.93,18.82,75.11
25-02-2022,14,93,9.52,18.62,36.28
26-02-2022,14.5,90,9.7,18.68,41.16
27-02-2022,15,61.7,9.44,18.1,41.88
28-02-2022,15.33,44.33,11.41,23.19,45.61
1/1/2022,8,69,19.2,21.3,112.45
2/1/2022,8.5,63,23.6,19.45,72.6
3/1/2022,10.7,67,21.35,19.81,80.41
4/1/2022,9.7,90,7.89,18.34,43.31
5/1/2022,9,89.33,7.61,20.37,35.8
6/1/2022,9,91.7,7.72,19.66,57.83
7/1/2022,8,90.1,7.45,18.83,44.67
8/1/2022,8.33,77.4,8.2,18.42,21
9/1/2022,8.6,74.33,9.41,18.7,35.41
10/1/2022,8,55.33,9.23,19.19,51.2
11/1/2022,8.7,47,10.25,18.46,58.75
12/1/2022,8.3,44.33,11.57,20.12,93.65
13-01-2022,8.7,43,11.32,21.31,104.21
14-01-2022,8.5,44,12.22,20.34,108.42
15-01-2022,8.33,73,10.82,19.39,130.3
16-01-2022,8,74.33,11.24,19.19,131.09
17-01-2022,8.8,78,9.25,19.77,145.76
18-01-2022,8.7,80.33,9.14,20.22,120.06
19-01-2022,8,83,8.09,19.78,81.17
20-01-2022,8.7,87,8.82,19.72,108.06
21-01-2022,8.3,90,8.41,19.61,60.8
22-01-2022,8,93,8.03,18.7,20.9
23-01-2022,7.7,89.33,8.5,19.31,25.12
24-01-2022,7,87.33,7.99,18.58,39.13
25-01-2022,7.33,82.66,8.26,17.91,46.59
26-01-2022,7.7,72.33,8.18,18.31,53.44
27-01-2022,8.33,60.33,7.96,18.39,65.31
28-01-2022,8,45,8.66,18.81,80.34
29-01-2022,8.5,52.9,9.42,19.04,125.73
30-01-2022,8.7,55.7,9.69,19.3,90.96
31-01-2022,9,63.7,10.4,20.17,102.7
1/12/2021,15,31.4,29.3,40.2,100.6
2/12/2021,14.5,43.6,32.2,41.3,94.3
3/12/2021,11.43,65.03,49.9,55.94,133.97
4/12/2021,14,72,13.6,23.5,68.3
5/12/2021,13.33,80,13.64,22.46,53.2
6/12/2021,14,48.7,17.72,20.47,56.05
7/12/2021,13.33,51.66,20.04,20.79,69.7
8/12/2021,13.7,56,27.03,21.73,93.38
9/12/2021,13.5,50.33,28.35,22.39,100.34
10/12/2021,13,47.3,26.4,23.4,80.95
11/12/2021,12,43.5,25.8,21.5,85.7
12/12/2021,11.66,42,27.74,22.49,120.5
13-12-2021,11,49.66,25.51,21.92,96.06
14-12-2021,10,57.7,19.88,22.21,91.18
15-12-2021,9.7,46.66,23.97,22.39,129.58
16-12-2021,9,52.66,13.82,20.19,73.88
17-12-2021,9.5,64,14.6,21.3,73.4
18-12-2021,9.33,60,22.97,22.14,111.9
19-12-2021,9.5,56.3,27.8,23.5,149.4
20-12-2021,9.33,59,27.97,20.64,156.2
21-12-2021,11.33,52.66,43.44,19.88,198.96
22-12-2021,11,54,39.98,21.25,182.1
23-12-2021,10.66,57.66,39.43,21.78,156.53
24-12-2021,10,54.6,29.78,22.28,119.9
25-12-2021,9.5,63,29.14,22.31,142.8
26-12-2021,9.33,74.7,25.02,22.55,107.37
27-12-2021,8.33,79,17.55,22.64,57.11
28-12-2021,9.2,61,24.03,21.69,84.79
29-12-2021,9,63,20.9,19.99,87.6
30-12-2021,8.5,58,22.9,21.74,86.2
31-12-2021,8.3,53,22.4,20.5,85.9
1/11/2021,20,50,5.6,18.33,31.82
2/11/2021,19.33,49.66,9.923,17.62,47.9
3/11/2021,19.5,50,15.67,19.86,78.37
4/11/2021,18.33,56,13.56,18.83,60.92
5/11/2021,18,75,15.4,19.66,62.68
6/11/2021,18,53,16.3,19.7,64.45
7/11/2021,17.5,42,15.67,19.66,58.52
8/11/2021,17.5,39,14.6,21.4,55.69
9/11/2021,17,37,8.7,19.3,36.98
10/11/2021,16.8,30,8.31,20,38.8
11/11/2021,16.5,33,9.66,20.32,44.6
12/11/2021,16,31,9.21,19.67,39.6
13-11-2021,16,28,10.68,20.4,48.6
14-11-2021,16,27,12.4,23.6,51.92
15-11-2021,15.8,31,9.42,19.88,38.8
16-11-2021,15.5,35,10.9,20.57,47.8
17-11-2021,15.3,29,12.8,21,56.7
18-11-2021,15.33,32,12.4,20.59,51.78
19-11-2021,15,33,14.77,21.38,58.6
20-11-2021,15.3,30,15.73,22.3,61.3
21-11-2021,14.8,43,13.8,23.54,59.8
22-11-2021,14.8,58,13.46,22.6,54.9
23-11-2021,15,49,12.5,21.6,47.6
24-11-2021,15.5,46,13.33,23.4,53.6
25-11-2021,16,44,14.6,24.5,62.87
26-11-2021,16.3,45,15.33,25.6,65.9
27-11-2021,16.5,47.6,18.4,27.6,68.2
28-11-2021,16.17,48.86,28.97,22.8,49.45
29-11-2021,15,50.3,19.4,21.6,48.66
30-11-2021,14.6,51.2,19.6,23.14,51.84
1/10/2021,28,76,16.3,17.3,28.3
2/10/2021,28,83,15.22,15.2,24.6
3/10/2021,27.5,70,10.6,11.8,12.5
4/10/2021,27,59,13.54,16.31,23.76
5/10/2021,26,66,7.22,12.1,12.3
6/10/2021,26,52,7.94,13.21,17.6
7/10/2021,25,79,11.3,15.23,23.66
8/10/2021,25,55,10.3,15.94,24.87
9/10/2021,24.5,70,13.71,18.3,30.6
10/10/2021,24,83,10.6,9.7,19.6
11/10/2021,24.8,59,6.21,8.99,10.3
12/10/2021,25,34,7.1,13.6,15.34
13-10-2021,25,50,8.22,14.1,22
14-10-2021,25.6,39,9.64,14.53,27.3
15-10-2021,26,31,7.88,13.87,19.84
16-10-2021,25.8,57,6.73,13.24,17.6
17-10-2021,25,83,6.4,13.7,18.2
18-10-2021,24,41,7.12,7.6,13.4
19-10-2021,24,47,6.82,12.77,15.87
20-10-2021,23.5,44,7.88,12.6,20.8
21-10-2021,23,34,9.42,15.4,32.78
22-10-2021,23,69,11.3,13.88,27
23-10-2021,22.8,72,7.2,11.3,19.66
24-10-2021,22.5,85,6.83,7.68,12.86
25-10-2021,22.3,64,7.33,9.6,18.65
26-10-2021,22,57,7.46,11.2,21.6
27-10-2021,21.8,53,7.62,11.73,23.4
28-10-2021,21.5,50,8.6,12.13,24.11
29-10-2021,21,35,8.22,10.64,22.5
30-10-2021,20.5,43,8.56,11.6,27.2
31-10-2021,20,48,8.15,9.68,22.3
1/9/2021,25,70,7.1,13.68,18
2/9/2021,26,60,8.2,134,17
3/9/2021,27,44,9.3,13.77,19.3
4/9/2021,28,45,10.9,14.6,25
5/9/2021,28,48,12.34,14.93,28.3
6/9/2021,27,58,13.48,17.8,33.7
7/9/2021,26.5,80,13.87,19.3,37.4
8/9/2021,26,84.7,9.97,11.21,21.06
9/9/2021,27,83,7.9,13.2,14.8
10/9/2021,26.5,85,9.6,10.8,7.43
11/9/2021,27.3,71,7.82,9.2,5.6
12/9/2021,27.8,70,8.31,12.8,16.9
13-09-2021,27,86,8.68,11.8,15.88
14-09-2021,27.8,60,9.2,14.3,19.8
15-09-2021,28,44,7.6,13.77,15.4
16-09-2021,28.33,47.66,10.92,19.67,31.58
17-09-2021,28,78,9.6,19.42,30.8
18-09-2021,28.3,73,10.43,25.4,37.83
19-09-2021,28,68,10.1,22.7,34.8
20-09-2021,27,73,11.6,21.3,30.1
21-09-2021,27,79,9.7,12.8,21.3
22-09-2021,26.8,86,9.55,13.8,20.2
23-09-2021,27.7,76.33,6.24,11.1,12.96
24-09-2021,27,62,6.8,13.4,16.9
25-09-2021,27.8,63,7.6,13.72,17.5
26-09-2021,27.33,59.33,6.93,10.66,20.2
27-09-2021,28,62,9.7,23.46,34.8
28-09-2021,28.33,53.66,8.8,17.73,32.36
29-09-2021,29,57,12.6,17.5,33.41
30-09-2021,29.5,52,57,12.6,17.5
30-09-2021,33.41,72,14.6,23.9,42.91
1/8/2021,26,66,7.1,12.4,17
2/8/2021,27,56,8.2,13.2,17.6
3/8/2021,27,78,9.6,17.6,34.6
4/8/2021,26.7,72.7,6.1,12,17.5
5/8/2021,26.5,70,8.3,15.3,25.2
6/8/2021,26,61,6.4,11.88,16.3
7/8/2021,27,35,10.1,19.1,37.2
8/8/2021,26.5,83,6.5,15.7,26.4
9/8/2021,27,70,7.4,16.3,28.7
10/8/2021,27,78,8.67,17.73,33.2
11/8/2021,28,70,9.1,18.9,33.8
12/8/2021,28,79,7.71,18.4,31.9
13-08-2021,27,56,5.4,11.2,17.9
14-08-2021,27,50,4.33,9.66,15.2
15-08-2021,26,78,4.24,9.1,12.3
16-08-2021,26,49,6.1,10.3,15
17-08-2021,25,58,8.6,13.4,33.8
18-08-2021,25,47,10.52,14.6,34.6
19-08-2021,26,68,8.9,13.2,31.5
20-08-2021,27,49,7.2,12.4,16
21-08-2021,28,54,6.1,11.7,15.2
22-08-2021,28,63.33,6.26,9.03,12.3
23-08-2021,28.6,83,8.3,11.3,16.4
24-08-2021,28,66,9.77,13.7,20.2
25-08-2021,29,73,12.4,17.6,36.2
26-08-2021,30,58,12.73,17.9,37.9
27-08-2021,29,59,11.6,19.1,39.6
28-08-2021,28,48,4.6,8.65,12.6
29-08-2021,26.7,83.33,8.17,10.03,19.54
30-08-2021,25.7,85,5.88,9.3,13.6
31-08-2021,26,63,9.6,13.4,19
